Event,Time,X Coordinate
Start leaving,1709367164.894549,0
Finish leaving,1709367171.0764925,40008
Start coming back,1709367175.0808725,40008
Finish coming back,1709367181.2461367,-3
Start leaving,1709367185.2505088,-3
Finish leaving,1709367191.4204662,40008
Start coming back,1709367195.4248233,40008
Finish coming back,1709367201.6007373,-3
Start leaving,1709367205.6050634,-3
Finish leaving,1709367211.784433,40008
Start coming back,1709367215.7888072,40008
Finish coming back,1709367221.9615452,-3
Start leaving,1709367225.9658914,-3
Finish leaving,1709367232.1300752,40008
Start coming back,1709367236.1344202,40008
Finish coming back,1709367242.2962356,-3
Start leaving,1709367246.3005996,-3
Finish leaving,1709367252.4645572,40008
Start coming back,1709367256.4689536,40008
Finish coming back,1709367262.634076,-3
